SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA BRATNIAK;0000232999;5250012981;00087284600000;ŚNIADECKICH 17A;24;00-654;WARSZAWA;;SPÓŁDZIELNIA;03.06.2005;52.2206179;21.0136316
SPÓŁDZIELCZE STOWARZYSZENIE MIESZKANIOWE "MOJE MIESZKANIE";0000231960;1132548014;14011934000000;KOWELSKA 4;33;03-432;WARSZAWA;;SPÓŁDZIELNIA;07.04.2005;52.262114350000004;21.040831069832457
MŁODZIEŻOWA SPÓŁDZIELNIA MIESZKANIOWA PRACOWNIKÓW "RÓŻY";0000231029;5250012538;00107188700000;MIEDZIANA 14;;00-835;WARSZAWA;;SPÓŁDZIELNIA;07.04.2005;52.2299175;20.9904348
WŁASNOŚCIOWA SPÓŁDZIELNIA MIESZKANIOWA "HOŻA 5-7";0000230579;5250007098;01205304000000;HOŻA 5/7;81;00-528;WARSZAWA;;SPÓŁDZIELNIA;17.03.2005;52.2276265;21.0212473
SPÓŁDZIELNIA MIESZKANIOWA "MERKURY SZCZĘŚLIWICE";0000230555;5261736228;00098193700000;URBANISTÓW 1;;02-397;WARSZAWA;;SPÓŁDZIELNIA;17.03.2005;52.2070071;20.9674253
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "ZACISZE";0000224390;5212893092;00049130500000;SŁONECZNA 50;;00-789;WARSZAWA;;SPÓŁDZIELNIA;28.12.2004;52.20961095;21.025005737698102
SPÓŁDZIELNIA DOMKÓW JEDNORODZINNYCH "JANOWSKIEGO-BASZTA";0000224384;9511205446;01210739000000;JANOWSKIEGO ALEKSANDRA 2;;02-784;WARSZAWA;;SPÓŁDZIELNIA;20.12.2004;52.15274745;21.021171726592264
SPÓŁDZIELNIA MIESZKANIOWA "STARÓWKA" W WARSZAWIE;0000224292;5250012260;00048977400000;PAŃSKA 59;;00-830;WARSZAWA;;SPÓŁDZIELNIA;17.12.2004;52.231817449999994;20.995455251052288
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "GŻEGŻÓŁKI";0000221082;9512125956;01587339200000;GŻEGŻÓŁKI 10;;02-804;WARSZAWA;;SPÓŁDZIELNIA;09.11.2004;52.14984965;21.0281558689088
SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA "RONDO";0000218909;5210418004;00049122200000;UL. TADEUSZA REJTANA 9A;3;02-516;WARSZAWA;;SPÓŁDZIELNIA;06.10.2004;52.20758805;21.01962716363696
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "SAMODZIELNA";0000217738;5251000394;00049101500000;ORLA 8;;00-143;WARSZAWA;;SPÓŁDZIELNIA;22.09.2004;52.24988225;21.253847373465476
SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA "NASZA";0000212657;5212753907;00049008500000;BELGIJSKA 12;;02-511;WARSZAWA;;SPÓŁDZIELNIA;12.07.2004;52.202748150000005;21.024508871419762
SPÓŁDZIELNIA MIESZKANIOWA "RODZINKA";0000212445;5222236651;01085081900000;WOJCIECHOWSKIEGO 35;;02-495;WARSZAWA;;SPÓŁDZIELNIA;12.07.2004;52.194832149999996;20.872344214548924
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "DZIENNIKARZ";0000211268;5261737802;01251074300000;BIAŁOBRZESKA 68;99;02-325;WARSZAWA;;SPÓŁDZIELNIA;29.06.2004;52.220961450000004;20.97868101646018
SPÓŁDZIELNIA MIESZKANIOWA " ZWYCIĘZCÓW";0000211048;1132486448;01575602500000;ZWYCIĘZCÓW 4 D;;03-941;WARSZAWA;;SPÓŁDZIELNIA;24.06.2004;52.22963275;21.05186964198697
SPÓŁDZIELNIA MIESZKANIOWA "WASZYNGTONA";0000210997;1132486313;01575495400000;KINOWA 19;;04-030;WARSZAWA;;SPÓŁDZIELNIA;23.06.2004;52.2423986;21.0702704
SPÓŁDZIELNIA MIESZKANIOWA "PRZYCZÓŁEK GROCHOWSKI";0000210996;1132486336;01575494800000;OSTRZYCKA 2/4;;04-035;WARSZAWA;;SPÓŁDZIELNIA;23.06.2004;52.2341463;21.0784591
KRAJOWY SAMORZĄDOWY FUNDUSZ POŻYCZKOWY - SPÓŁDZIELNIA OSÓB PRAWNYCH;0000210493;5252299449;01575503700000;MIODOWA 14;;00-246;WARSZAWA;;SPÓŁDZIELNIA;22.06.2004;52.247394;21.0095655
SPÓŁDZIELNIA MIESZKANIOWA "MONOLIT";0000209737;5272140982;00092807300000;DEOTYMY 19/21;;01-407;WARSZAWA;;SPÓŁDZIELNIA;15.06.2004;52.241692799999996;20.947926615247255
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "ZIMOWE LEŻE";0000206656;5250012811;00049132800000;SŁOWACKIEGO 27/33;;01-592;WARSZAWA;;SPÓŁDZIELNIA;17.05.2004;52.2708541;20.9762064
SPÓŁDZIELNIA MIESZKANIOWA MICKIEWICZA POTOK;0000201902;5252295167;01570930400000;MICKIEWICZA 70;90;01-650;WARSZAWA;;SPÓŁDZIELNIA;30.03.2004;52.2784914;20.98140345195001
MIĘDZYZAKŁADOWA SPÓŁDZIELNIA MIESZKANIOWA "CENTRUM 2";0000201389;5251000081;00101497800000;ŁUKASZCZYKA 35;22;02-781;WARSZAWA;;SPÓŁDZIELNIA;24.03.2004;52.1489071;21.02833678085674
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "BATORY";0000198403;5250006609;00138241700000;UL. GIORDANA BRUNA 32;;02-594;WARSZAWA;;SPÓŁDZIELNIA;18.03.2004;52.206978;20.99955853115509
SPÓŁDZIELNIA MIESZKANIOWA "WIGOR";0000199944;1130395954;01189847800000;FRENKLA 3;1;04-914;WARSZAWA;;SPÓŁDZIELNIA;16.03.2004;52.1624784;21.211658553773322
SPÓŁDZIELNIA MIESZKANIOWA "PRZANOWSKIEGO";0000199766;5272242582;01495167000000;PRZANOWSKIEGO 4;51;01-457;WARSZAWA;;SPÓŁDZIELNIA;15.03.2004;52.23753855;20.934017998687807
SPÓŁDZIELCZE BIURO PROJEKTÓW "SDIS-PROJEKT";0000199886;5250003344;00201110800000;CZARNOMORSKA 13;;02-758;WARSZAWA;;SPÓŁDZIELNIA;12.03.2004;52.1800913;21.0463706
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "SPÓLNOTA MIESZKANIOWA";0000198901;5250006259;00049038100000;FILTROWA 81;13;02-032;WARSZAWA;;SPÓŁDZIELNIA;12.03.2004;52.2190954;20.9871869
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "PEWNOŚĆ";0000198793;5252083488;00048998100000;ALEJA 3-GO MAJA 14;5B;00-381;WARSZAWA;;SPÓŁDZIELNIA;09.03.2004;n;n
SPÓŁDZIELNIA BUDOWLANO MIESZKANIOWA "IMPERIUM";0000198722;5251001175;01115239400000;ODROWĄŻA 9;;03-310;WARSZAWA;;SPÓŁDZIELNIA;05.03.2004;52.275397749999996;21.029541004270044
