nazwa,krs,nip,regon,adres,nr_lokalu,kod_pocztowy,miejscowosc,forma_prawna,data_rejestracji,szer,dlug
WARSZAWSKI BANK SPÓŁDZIELCZY,0000082262,5250006176,00050964300000,FIELDORFA+5A+WARSZAWA,,03-984,WARSZAWA,SPÓŁDZIELNIA,23.01.2002,52.223456150000004,21.090817687386643
"SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA ""POLITECHNIKA""",0000081435,5250011220,00087945200000,ETIUDY+REWOLUCYJNEJ+48+WARSZAWA,,02-643,WARSZAWA,SPÓŁDZIELNIA,16.01.2002,52.192972049999995,20.9912115895272
"SPÓŁDZIELNIA MIESZKANIOWA "" SŁUŻEW NAD DOLINKĄ""",0000079647,5250011102,01103621600000,+WOLFGANGA+AMADEUSZA+MOZARTA+1+WARSZAWA,,02-736,WARSZAWA,SPÓŁDZIELNIA,16.01.2002,52.1719656,21.032594489668682
"ROBOTNICZA SPÓŁDZIELNIA MIESZKANIOWA ""URSUS""",0000065997,5250006288,00049221000000,SOSNKOWSKIEGO+11+WARSZAWA,,02-495,WARSZAWA,SPÓŁDZIELNIA,14.01.2002,52.1900062,20.8887382
"""SPOŁEM"" WARSZAWSKA SPÓŁDZIELNIA SPOŻYWCÓW PRAGA - PÓŁNOC",0000080499,5250010597,00088026000000,ŁABISZYŃSKA+16+WARSZAWA,,03-385,WARSZAWA,SPÓŁDZIELNIA,11.01.2002,52.29586515,21.033522157145708
"SPÓŁDZIELNIA MIESZKANIOWO - BUDOWLANA ""JARY""",0000079817,5250011705,01103719600000,SUROWIECKIEGO+12+WARSZAWA,,02-785,WARSZAWA,SPÓŁDZIELNIA,11.01.2002,52.1581311,21.0207821
"SPÓŁDZIELNIA MIESZKANIOWA ""BRÓDNO""",0000078357,5250006704,00077934800000,KRASNOBRODZKA+11+WARSZAWA,,03-214,WARSZAWA,SPÓŁDZIELNIA,08.01.2002,52.2999999,21.0441282
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""DEMBUD""",0000078123,5271045939,00138444500000,ŻELAZNA+41+WARSZAWA,9,00-836,WARSZAWA,SPÓŁDZIELNIA,08.01.2002,52.230286,20.9931211
"SPÓŁDZIELNIA MIESZKANIOWA ""MAŁE KABATY""",0000077941,5261878454,01242066100000,STRYJEŃSKICH+10+WARSZAWA,123 A,02-791,WARSZAWA,SPÓŁDZIELNIA,08.01.2002,52.1337601,21.055837132201084
"SPÓŁDZIELNIA BUDOWNICTWA MIESZKANIOWEGO ""POŁUDNIOWA""",0000076785,1131920931,01218319000000,WĄWOZOWA+20+WARSZAWA,,02-796,WARSZAWA,SPÓŁDZIELNIA,02.01.2002,52.13158635,21.063019117744815
